
['barbour hall', 'barbour fl 1 a', 'pbarbour 140', 'barbour 140 141', 'barbour 140 141-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']
['chen family hall', 'chen fl 4', 'chen 417', 'chen 417 417b', 'chen 417 417b-1', 'single(suite/apartment)', '4', 'female', 'springgeneral housingselection']

['chen family hall', 'chen fl 4', 'chen 418', 'chen 418 418a', 'chen 418 418a-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['chen family hall', 'chen fl 4', 'chen 418', 'chen 418 418b', 'chen 418 418b-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['chen family hall', 'chen fl 4', 'chen 418', 'chen 418 418c', 'chen 418 418c-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['chen family hall', 'chen fl 4', 'chen 418', 'chen 418 418d', 'chen 418 418d-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['chen family hall', 'chen fl 5', 'chen 506', 'chen 506 506c', 'chen 506 506c-1', 'single(suite/apartment)', '4', 'female', 'springgeneral housingselection']

['chen family hall', 'chen fl 5', 'chen 507', 'chen 507 507a', 'chen 507 507a-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['chen family hall', 'chen fl 5', 'chen 507', 'chen 507 507b', 'chen 507 507b-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['chen family hall', 'chen fl 5', 'chen 507', 'chen 507 507c', 'chen 507 507c-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['chen family hall', 'chen fl 5', 'chen 507', 'chen 507 507d', 'chen 507 507d-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['chen family hall', 'chen fl 5', 'chen 513', 'chen 513 513a', 'chen 513 513a-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['chen family hall', 'chen fl 5', 'chen 513', 'chen 513 513b', 'chen 513 513b-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['chen family hall', 'chen fl 5', 'chen 513', 'chen 513 513c', 'chen 513 513c-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['chen family hall', 'chen fl 5', 'chen 513', 'chen 513 513d', 'chen 513 513d-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['chen family hall', 'chen fl 5', 'chen 518', 'chen 518 518a', 'chen 518 518a-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['chen family hall', 'chen fl 5', 'chen 518', 'chen 518 518b', 'chen 518 518b-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['chen family hall', 'chen fl 5', 'chen 518', 'chen 518 518c', 'chen 518 518c-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['chen family hall', 'chen fl 5', 'chen 518', 'chen 518 518d', 'chen 518 518d-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['chen family hall', 'chen fl 5', 'chen 519', 'chen 519 519a', 'chen 519 519a-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

