
['barbour hall', 'barbour fl 1 a', 'pbarbour 140', 'barbour 140 141', 'barbour 140 141-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']
['young orchard 10', 'yo 10 fl 2', 'yo 10 210', 'yo 10 210 213', 'yo 10 210 213-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['young orchard 10', 'yo 10 fl 2', 'yo 10 210', 'yo 10 210 214', 'yo 10 210 214-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['young orchard 10', 'yo 10 fl 2', 'yo 10 220', 'yo 10 220 222', 'yo 10 220 222-1', 'single(suite/apartment)', '4', 'male', 'springgeneral housingselection']

['young orchard 10', 'yo 10 fl 2', 'yo 10 230', 'yo 10 230 231', 'yo 10 230 231-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['young orchard 10', 'yo 10 fl 2', 'yo 10 230', 'yo 10 230 232', 'yo 10 230 232-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['young orchard 10', 'yo 10 fl 2', 'yo 10 230', 'yo 10 230 233', 'yo 10 230 233-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['young orchard 10', 'yo 10 fl 2', 'yo 10 230', 'yo 10 230 234', 'yo 10 230 234-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['young orchard 10', 'yo 10 fl 3', 'yo 10 330', 'yo 10 330 331', 'yo 10 330 331-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['young orchard 10', 'yo 10 fl 3', 'yo 10 330', 'yo 10 330 332', 'yo 10 330 332-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['young orchard 10', 'yo 10 fl 3', 'yo 10 330', 'yo 10 330 333', 'yo 10 330 333-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['young orchard 10', 'yo 10 fl 3', 'yo 10 330', 'yo 10 330 334', 'yo 10 330 334-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['young orchard 10', 'yo 10 fl 3', 'yo 10 340', 'yo 10 340 344', 'yo 10 340 344-1', 'single(suite/apartment)', '4', 'male', 'springgeneral housingselection']

['young orchard 10', 'yo 10 fl 4', 'yo 10 420', 'yo 10 420 421', 'yo 10 420 421-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['young orchard 10', 'yo 10 fl 4', 'yo 10 420', 'yo 10 420 422', 'yo 10 420 422-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['young orchard 10', 'yo 10 fl 4', 'yo 10 420', 'yo 10 420 423', 'yo 10 420 423-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['young orchard 10', 'yo 10 fl 4', 'yo 10 420', 'yo 10 420 424', 'yo 10 420 424-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['young orchard 10', 'yo 10 fl 4', 'yo 10 440', 'yo 10 440 444', 'yo 10 440 444-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['young orchard 2', 'yo 2 fl 1', 'yo 2 110', 'yo 2 110 111', 'yo 2 110 111-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['young orchard 2', 'yo 2 fl 1', 'yo 2 110', 'yo 2 110 112', 'yo 2 110 112-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['young orchard 2', 'yo 2 fl 1', 'yo 2 120', 'yo 2 120 121', 'yo 2 120 121-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['young orchard 2', 'yo 2 fl 1', 'yo 2 120', 'yo 2 120 122', 'yo 2 120 122-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['young orchard 2', 'yo 2 fl 2', 'yo 2 210', 'yo 2 210 212', 'yo 2 210 212-1', 'single(suite/apartment)', '4', 'female', 'springgeneral housingselection']

['young orchard 2', 'yo 2 fl 2', 'yo 2 210', 'yo 2 210 213', 'yo 2 210 213-1', 'single(suite/apartment)', '4', 'female', 'springgeneral housingselection']

['young orchard 2', 'yo 2 fl 2', 'yo 2 210', 'yo 2 210 214', 'yo 2 210 214-1', 'single(suite/apartment)', '4', 'female', 'springgeneral housingselection']

['young orchard 2', 'yo 2 fl 3', 'yo 2 320', 'yo 2 320 321', 'yo 2 320 321-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['young orchard 2', 'yo 2 fl 3', 'yo 2 320', 'yo 2 320 322', 'yo 2 320 322-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['young orchard 2', 'yo 2 fl 3', 'yo 2 320', 'yo 2 320 323', 'yo 2 320 323-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['young orchard 2', 'yo 2 fl 3', 'yo 2 320', 'yo 2 320 324', 'yo 2 320 324-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['young orchard 2', 'yo 2 fl 3', 'yo 2 340', 'yo 2 340 341', 'yo 2 340 341-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['young orchard 2', 'yo 2 fl 3', 'yo 2 340', 'yo 2 340 342', 'yo 2 340 342-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['young orchard 2', 'yo 2 fl 3', 'yo 2 340', 'yo 2 340 343', 'yo 2 340 343-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['young orchard 2', 'yo 2 fl 3', 'yo 2 340', 'yo 2 340 344', 'yo 2 340 344-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['young orchard 2', 'yo 2 fl 4', 'yo 2 420', 'yo 2 420 421', 'yo 2 420 421-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['young orchard 2', 'yo 2 fl 4', 'yo 2 420', 'yo 2 420 422', 'yo 2 420 422-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['young orchard 2', 'yo 2 fl 4', 'yo 2 420', 'yo 2 420 423', 'yo 2 420 423-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['young orchard 2', 'yo 2 fl 4', 'yo 2 420', 'yo 2 420 424', 'yo 2 420 424-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['young orchard 2', 'yo 2 fl 4', 'yo 2 430', 'yo 2 430 432', 'yo 2 430 432-1', 'single(suite/apartment)', '4', 'female', 'springgeneral housingselection']

['young orchard 2', 'yo 2 fl 4', 'yo 2 440', 'yo 2 440 441', 'yo 2 440 441-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['young orchard 2', 'yo 2 fl 4', 'yo 2 440', 'yo 2 440 442', 'yo 2 440 442-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['young orchard 2', 'yo 2 fl 4', 'yo 2 440', 'yo 2 440 443', 'yo 2 440 443-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['young orchard 2', 'yo 2 fl 4', 'yo 2 440', 'yo 2 440 444', 'yo 2 440 444-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['young orchard 4', 'yo 4 fl 1', 'yo 4 110', 'yo 4 110 111', 'yo 4 110 111-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['young orchard 4', 'yo 4 fl 1', 'yo 4 110', 'yo 4 110 112', 'yo 4 110 112-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['young orchard 4', 'yo 4 fl 1', 'yo 4 110', 'yo 4 110 113', 'yo 4 110 113-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['young orchard 4', 'yo 4 fl 1', 'yo 4 110', 'yo 4 110 114', 'yo 4 110 114-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['young orchard 4', 'yo 4 fl 2', 'yo 4 220', 'yo 4 220 221', 'yo 4 220 221-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['young orchard 4', 'yo 4 fl 2', 'yo 4 220', 'yo 4 220 222', 'yo 4 220 222-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['young orchard 4', 'yo 4 fl 2', 'yo 4 220', 'yo 4 220 223', 'yo 4 220 223-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['young orchard 4', 'yo 4 fl 2', 'yo 4 220', 'yo 4 220 224', 'yo 4 220 224-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['young orchard 4', 'yo 4 fl 3', 'yo 4 320', 'yo 4 320 321', 'yo 4 320 321-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['young orchard 4', 'yo 4 fl 3', 'yo 4 320', 'yo 4 320 322', 'yo 4 320 322-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['young orchard 4', 'yo 4 fl 3', 'yo 4 320', 'yo 4 320 323', 'yo 4 320 323-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['young orchard 4', 'yo 4 fl 3', 'yo 4 320', 'yo 4 320 324', 'yo 4 320 324-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['young orchard 4', 'yo 4 fl 4', 'yo 4 410', 'yo 4 410 414', 'yo 4 410 414-1', 'single(suite/apartment)', '4', 'coed', 'springgeneral housingselection']

['young orchard 4', 'yo 4 fl 4', 'yo 4 440', 'yo 4 440 441', 'yo 4 440 441-1', 'single(suite/apartment)', '4', 'female', 'springgeneral housingselection']
